Team,Side,Formation,Package,Play
New York Giants,Offense,Tight Triple,Ace,50 H Screen Strong
New York Giants,Offense,Doubles,Kings,90 Z Arrow
New York Giants,Offense,Doubles,Kings,Strong Dive
New York Giants,Offense,Doubles,Kings,50 TE Post-Corner
New York Giants,Offense,Doubles,Kings,Weak Outside Zone
New York Giants,Offense,Doubles,Kings,50 H Replace
New York Giants,Offense,Doubles,Kings,Strong Y Lead T-Toss
New York Giants,Offense,Doubles,Kings,90 X Hot
New York Giants,Offense,Doubles,Kings,Weak Draw
New York Giants,Offense,Doubles,Kings,50 H Screen Strong
New York Giants,Offense,Doubles,Kings,Weak Dive
New York Giants,Offense,Doubles,Kings,PA Z Slam-n-Go
New York Giants,Offense,Doubles,Kings,Strong Counter
New York Giants,Offense,Doubles,Kings,Slot Reverse Strong
New York Giants,Offense,Doubles,Kings,PA Reverse Y Fade
New York Giants,Offense,Doubles,Kings,Flea Flicker
New York Giants,Offense,Doubles,Kings,Toss Reverse Strong
New York Giants,Offense,Ace,Ace,90 Slants-n-Stops
New York Giants,Offense,Ace,Ace,Strong Dive
New York Giants,Offense,Ace,Ace,50 H Wheel
New York Giants,Offense,Ace,Ace,Weak Counter
New York Giants,Offense,Ace,Ace,50 Z Slip Screen
New York Giants,Offense,Ace,Ace,Strong Toss
New York Giants,Offense,Ace,Ace,PA-RO Z Rollaway
New York Giants,Offense,Ace,Ace,Weak Zone Cutback
New York Giants,Offense,Ace,Ace,PA Z Curl-n-Go
New York Giants,Offense,Ace Trips,Ace,90 X Hot
New York Giants,Offense,Ace Trips,Ace,Strong Zone Cutback
New York Giants,Offense,Ace Trips,Ace,50 TE Rub Out
New York Giants,Offense,Ace Trips,Ace,Weak T-Toss
New York Giants,Offense,Ace Trips,Ace,50 Z Under
New York Giants,Offense,Ace Trips,Ace,Strong Power
New York Giants,Offense,Ace Trips,Ace,90 Z Arrow
New York Giants,Offense,Ace Trips,Ace,Weak Counter
New York Giants,Offense,Ace Trips,Ace,50 TE Fade Out
New York Giants,Offense,Ace Trips,Ace,PA TE Seam
New York Giants,Offense,Ace Trips,Ace,Weak Dive
New York Giants,Offense,Ace Trips,Ace,PA-RO Strong Flow
New York Giants,Offense,Ace Trips,Ace,Slot Reverse Weak B
New York Giants,Offense,Ace Trips,Ace,Flea Flicker
New York Giants,Offense,Ace Trips,Ace,Toss Reverse Weak B
New York Giants,Offense,Triple,Kings,90 Y Speed Rub Out
New York Giants,Offense,Triple,Kings,Weak Dive
New York Giants,Offense,Triple,Kings,50 H Wheel
New York Giants,Offense,Triple,Kings,Strong Zone Cutback
New York Giants,Offense,Triple,Kings,50 X Arrow-n-Go
New York Giants,Offense,Triple,Kings,Strong T-Toss
New York Giants,Offense,Triple,Kings,PA TE Seam
New York Giants,Offense,Triple,Kings,Strong Draw
New York Giants,Offense,Triple,Kings,50 Z In-n-Out
New York Giants,Offense,Triple,Kings,Slot Reverse Weak
New York Giants,Offense,Triple,Kings,H Shovel Strong
New York Giants,Offense,Triple,Kings,Toss Reverse Weak
New York Giants,Offense,Pair Slot,Ace,90 Z Bubble Motion
New York Giants,Offense,Pair Slot,Ace,Weak Dive
New York Giants,Offense,Pair Slot,Ace,50 Y Screen Seam
New York Giants,Offense,Pair Slot,Ace,Strong Outside Zone
New York Giants,Offense,Pair Slot,Ace,90 Z Arrow
New York Giants,Offense,Pair Slot,Ace,Strong Zone Cutback
New York Giants,Offense,Pair Slot,Ace,PA-RO Z Fade
New York Giants,Offense,Pair Slot,Ace,Weak Draw
New York Giants,Offense,Pair Slot,Ace,PA Z Slam-n-Go
New York Giants,Offense,Pair Slot,Ace,Slot Reverse Strong B
New York Giants,Offense,Pair Slot,Ace,Fake Toss Reverse
New York Giants,Offense,Pair Slot,Ace,Toss Reverse Strong B
New York Giants,Offense,I Pro,Pro,90 X Qk Hitch
New York Giants,Offense,I Pro,Pro,Weak Iso
New York Giants,Offense,I Pro,Pro,50 TE Zone In
New York Giants,Offense,I Pro,Pro,Weak Outside Zone
New York Giants,Offense,I Pro,Pro,90 Z Speed Under
New York Giants,Offense,I Pro,Pro,Strong T-Toss
New York Giants,Offense,I Pro,Pro,50 Strong Outs
New York Giants,Offense,I Pro,Pro,Strong Zone Cutback
New York Giants,Offense,I Pro,Pro,50 H Screen Strong
New York Giants,Offense,I Pro,Pro,PA Z Seam
New York Giants,Offense,I Pro,Pro,Strong Lead Draw
New York Giants,Offense,I Pro,Pro,PA X Out-n-Up 
New York Giants,Offense,I Twins,Pro,90 X/Z Slants
New York Giants,Offense,I Twins,Pro,Strong Iso
New York Giants,Offense,I Twins,Pro,50 X/Z Cross
New York Giants,Offense,I Twins,Pro,Strong Zone Cutback
New York Giants,Offense,I Twins,Pro,50 X Corner
New York Giants,Offense,I Twins,Pro,Strong Power
New York Giants,Offense,I Twins,Pro,RO X Comeback
New York Giants,Offense,I Twins,Pro,Weak Lead Draw
New York Giants,Offense,I Twins,Pro,PA F Flat
New York Giants,Offense,I Twins,Pro,Slot Reverse I
New York Giants,Offense,I Twins,Pro,H Shovel Strong
New York Giants,Offense,I Twins,Pro,Toss Reverse I
New York Giants,Offense,I Spread,Pro,90 Y Qk Slant
New York Giants,Offense,I Spread,Pro,Strong Iso
New York Giants,Offense,I Spread,Pro,50 F Out
New York Giants,Offense,I Spread,Pro,Weak Toss
New York Giants,Offense,I Spread,Pro,50 Y Out-n-In
New York Giants,Offense,I Spread,Pro,Strong Outside Zone
New York Giants,Offense,I Spread,Pro,RO Z Slide
New York Giants,Offense,I Spread,Pro,Strong Lead Draw
New York Giants,Offense,I Spread,Pro,PA Z Post-Corner
New York Giants,Offense,I Jokers,Jokers,90 Y/TE Hot
New York Giants,Offense,I Jokers,Jokers,Strong Iso
New York Giants,Offense,I Jokers,Jokers,50 Y/TE Corners
New York Giants,Offense,I Jokers,Jokers,Weak Zone Cutback
New York Giants,Offense,I Jokers,Jokers,90 X Lob Fade
New York Giants,Offense,I Jokers,Jokers,Strong Toss
New York Giants,Offense,I Jokers,Jokers,PA X Drag
New York Giants,Offense,I Jokers,Jokers,Strong Outside Zone
New York Giants,Offense,I Jokers,Jokers,PA Y/TE Seams
New York Giants,Offense,I Jokers Pair,Jokers,90 Y/TE Speed Cross
New York Giants,Offense,I Jokers Pair,Jokers,Strong T-Toss
New York Giants,Offense,I Jokers Pair,Jokers,50 Y Swing Strong
New York Giants,Offense,I Jokers Pair,Jokers,Weak Stretch
New York Giants,Offense,I Jokers Pair,Jokers,90 X Lob Fade
New York Giants,Offense,I Jokers Pair,Jokers,Strong Y Trap
New York Giants,Offense,I Jokers Pair,Jokers,PA Y/TE In-n-Out
New York Giants,Offense,I Jokers Pair,Jokers,Weak FB Dive
New York Giants,Offense,I Jokers Pair,Jokers,PA X Drag
New York Giants,Offense,I Jokers Pair,Jokers,Weak Counter Trap
New York Giants,Offense,I Jokers Pair,Jokers,90 Y/TE Hot
New York Giants,Offense,I Jokers Pair,Jokers,Strong Counter
New York Giants,Offense,Strong I Pro,Pro,90 TE Hook
New York Giants,Offense,Strong I Pro,Pro,Strong Iso
New York Giants,Offense,Strong I Pro,Pro,50 X Post-Corner
New York Giants,Offense,Strong I Pro,Pro,Weak T-Toss
New York Giants,Offense,Strong I Pro,Pro,50 TE Zone In
New York Giants,Offense,Strong I Pro,Pro,Strong Power
New York Giants,Offense,Strong I Pro,Pro,PA TE Seam
New York Giants,Offense,Strong I Pro,Pro,Weak Draw
New York Giants,Offense,Strong I Pro,Pro,PA TE Delay Corner
New York Giants,Offense,Strong I Twins,Pro,90 Z Slam
New York Giants,Offense,Strong I Twins,Pro,Strong Iso
New York Giants,Offense,Strong I Twins,Pro,50 Z Deep Drag
New York Giants,Offense,Strong I Twins,Pro,Weak Outside Zone
New York Giants,Offense,Strong I Twins,Pro,90 H Speed Out
New York Giants,Offense,Strong I Twins,Pro,Strong Sweep
New York Giants,Offense,Strong I Twins,Pro,90 TE Speed Out
New York Giants,Offense,Strong I Twins,Pro,Weak Counter Trap
New York Giants,Offense,Strong I Twins,Pro,50 Z Fade
New York Giants,Offense,Strong I Twins,Pro,50 H/F Wheels
New York Giants,Offense,Strong I Twins,Pro,Strong Counter
New York Giants,Offense,Strong I Twins,Pro,50 F Screen Strong
New York Giants,Offense,Strong I Jokers,Pro,90 Double Out
New York Giants,Offense,Strong I Jokers,Pro,Strong Iso
New York Giants,Offense,Strong I Jokers,Pro,50 TE Post
New York Giants,Offense,Strong I Jokers,Pro,Weak FB Sweep
New York Giants,Offense,Strong I Jokers,Pro,90 Y/Z Speed Cross
New York Giants,Offense,Strong I Jokers,Pro,Strong Sweep
New York Giants,Offense,Strong I Jokers,Pro,50 Y Out
New York Giants,Offense,Strong I Jokers,Pro,Strong Power
New York Giants,Offense,Strong I Jokers,Pro,PA Y Dump
New York Giants,Offense,Weak I Pro,Pro,90 X Slant
New York Giants,Offense,Weak I Pro,Pro,Weak Iso
New York Giants,Offense,Weak I Pro,Pro,50 TE Fade Out
New York Giants,Offense,Weak I Pro,Pro,Weak Toss
New York Giants,Offense,Weak I Pro,Pro,50 Z Rub In
New York Giants,Offense,Weak I Pro,Pro,Strong Counter Trap
New York Giants,Offense,Weak I Pro,Pro,PA X Slant-n-Go
New York Giants,Offense,Weak I Pro,Pro,Weak Lead Draw
New York Giants,Offense,Weak I Pro,Pro,PA H Strong Screen
New York Giants,Offense,Weak I Spread,Jokers,90 X Lob Corner
New York Giants,Offense,Weak I Spread,Jokers,Weak Iso
New York Giants,Offense,Weak I Spread,Jokers,50 TE Post
New York Giants,Offense,Weak I Spread,Jokers,50 H Screen Strong
New York Giants,Offense,Weak I Spread,Jokers,Strong Counter Trap
New York Giants,Offense,Weak I Spread,Jokers,50 TE Post-Corner
New York Giants,Offense,Weak I Spread,Jokers,Weak Lead Draw
New York Giants,Offense,Weak I Spread,Jokers,PA Z/TE Cross
New York Giants,Offense,Weak I Spread,Jokers,Strong T-Toss
New York Giants,Offense,Weak I Spread,Jokers,HB Pass
New York Giants,Offense,Weak I Spread,Jokers,Strong Dive
New York Giants,Offense,Weak I Spread,Jokers,Flea Flicker
New York Giants,Offense,Gun: Split Spread,Pro,90 All Stop
New York Giants,Offense,Gun: Split Spread,Pro,Weak Draw
New York Giants,Offense,Gun: Split Spread,Pro,50 H/F Wheels
New York Giants,Offense,Gun: Split Spread,Pro,Weak Split Toss
New York Giants,Offense,Gun: Split Spread,Pro,50 H Replace
New York Giants,Offense,Gun: Split Spread,Pro,Strong Sweep
New York Giants,Offense,Gun: Split Spread,Pro,90 Y Speed Under
New York Giants,Offense,Gun: Split Spread,Pro,Weak FB Sweep
New York Giants,Offense,Gun: Split Spread,Pro,50 Double Swing
New York Giants,Offense,Gun: Split Spread,Pro,PA TE Seam
New York Giants,Offense,Gun: Split Spread,Pro,QB Draw
New York Giants,Offense,Gun: Split Spread,Pro,50 Z Corner
New York Giants,Offense,Gun: Split Spread,Pro,50 TE Post
New York Giants,Offense,Gun: Split Spread,Pro,H Direct Snap
New York Giants,Offense,Gun: Split Spread,Pro,H Shovel Strong
New York Giants,Offense,Gun: Doubles Right,Kings,90 H Quick Dump
New York Giants,Offense,Gun: Doubles Right,Kings,Strong Draw
New York Giants,Offense,Gun: Doubles Right,Kings,50 TE Post-Corner
New York Giants,Offense,Gun: Doubles Right,Kings,90 X Hot
New York Giants,Offense,Gun: Doubles Right,Kings,Strong Toss
New York Giants,Offense,Gun: Doubles Right,Kings,50 Y Zip Out-n-Up
New York Giants,Offense,Gun: Doubles Right,Kings,PA Z/TE Cross
New York Giants,Offense,Gun: Doubles Right,Kings,Weak Sweep
New York Giants,Offense,Gun: Doubles Right,Kings,50 Z Rub In
New York Giants,Offense,Gun: Doubles Right,Kings,50 H Screen Strong
New York Giants,Offense,Gun: Doubles Right,Kings,H Direct Snap
New York Giants,Offense,Gun: Doubles Right,Kings,50 A/X Cross
New York Giants,Offense,Gun: Trips Left,Kings,90 A Quick Out
New York Giants,Offense,Gun: Trips Left,Kings,Weak Draw
New York Giants,Offense,Gun: Trips Left,Kings,50 A/X Cross
New York Giants,Offense,Gun: Trips Left,Kings,50 Y Drag
New York Giants,Offense,Gun: Trips Left,Kings,Weak Toss
New York Giants,Offense,Gun: Trips Left,Kings,50 A Curl In
New York Giants,Offense,Gun: Trips Left,Kings,90 H Speed Out
New York Giants,Offense,Gun: Trips Left,Kings,H Direct Snap
New York Giants,Offense,Gun: Trips Left,Kings,50 X/A Cross
New York Giants,Offense,Gun: Trips Left,Kings,90 H Quick Dump
New York Giants,Offense,Gun: Trips Left,Kings,Strong Sweep
New York Giants,Offense,Gun: Trips Left,Kings,50 H Replace
New York Giants,Offense,Gun: Quads Left,Kings,90 H Quick Dump
New York Giants,Offense,Gun: Quads Left,Kings,Weak Draw
New York Giants,Offense,Gun: Quads Left,Kings,50 Z Hook-n-Go
New York Giants,Offense,Gun: Quads Left,Kings,50 A Curl In
New York Giants,Offense,Gun: Quads Left,Kings,Strong Sweep
New York Giants,Offense,Gun: Quads Left,Kings,50 H Replace
New York Giants,Offense,Gun: Quads Left,Kings,50 Z Corner-Post
New York Giants,Offense,Gun: Quads Left,Kings,Weak Toss
New York Giants,Offense,Gun: Quads Left,Kings,50 Slot Outs
New York Giants,Offense,Gun: Triple Left,Kings,90 Y Speed Rub Out
New York Giants,Offense,Gun: Triple Left,Kings,Weak Draw
New York Giants,Offense,Gun: Triple Left,Kings,50 Y Wheel
New York Giants,Offense,Gun: Triple Left,Kings,50 X Opposite Flow
New York Giants,Offense,Gun: Triple Left,Kings,Weak Toss
New York Giants,Offense,Gun: Triple Left,Kings,50 H Wheel
New York Giants,Offense,Gun: Triple Left,Kings,50 Z In-n-Out
New York Giants,Offense,Gun: Triple Left,Kings,Strong Sweep
New York Giants,Offense,Gun: Triple Left,Kings,H Shovel Strong
Cincinnati Bengals,Offense,I Pro,Pro,90 Z Quick Out
Cincinnati Bengals,Offense,I Pro,Pro,Strong Fan Iso
Cincinnati Bengals,Offense,I Pro,Pro,50 H Screen Strong
Cincinnati Bengals,Offense,I Pro,Pro,Weak Outside Zone
Cincinnati Bengals,Offense,I Pro,Pro,50 Z Deep Hook
Cincinnati Bengals,Offense,I Pro,Pro,Strong Power
Cincinnati Bengals,Offense,I Pro,Pro,90 All Hot
Cincinnati Bengals,Offense,I Pro,Pro,Strong Power-O
Cincinnati Bengals,Offense,I Pro,Pro,50 Double Swing
Cincinnati Bengals,Offense,I Pro,Pro,PA Z Out-n-Up
Cincinnati Bengals,Offense,I Pro,Pro,Weak Stretch
Cincinnati Bengals,Offense,I Pro,Pro,PA-RO Z Curl
Cincinnati Bengals,Offense,I Pro,Pro,Weak Iso
Cincinnati Bengals,Offense,I Pro,Pro,PA Counter Pass
Cincinnati Bengals,Offense,I Pro,Pro,Strong Counter Trap
Cincinnati Bengals,Offense,I Spread,Queens,90 Y Qk Slant
Cincinnati Bengals,Offense,I Spread,Queens,Strong Iso
Cincinnati Bengals,Offense,I Spread,Queens,50 Z Slip Screen
Cincinnati Bengals,Offense,I Spread,Queens,Weak Zone Bounce
Cincinnati Bengals,Offense,I Spread,Queens,90 Z Quick Hitch
Cincinnati Bengals,Offense,I Spread,Queens,Strong Toss
Cincinnati Bengals,Offense,I Spread,Queens,PA Y Curl
Cincinnati Bengals,Offense,I Spread,Queens,Strong Lead Draw
Cincinnati Bengals,Offense,I Spread,Queens,PA-RO Z Stop-n-Go
Cincinnati Bengals,Offense,I Twins,Pro,90 Z Speed Under
Cincinnati Bengals,Offense,I Twins,Pro,Strong Iso
Cincinnati Bengals,Offense,I Twins,Pro,50 X/Z Deep Cross
Cincinnati Bengals,Offense,I Twins,Pro,Weak Outside Zone
Cincinnati Bengals,Offense,I Twins,Pro,50 H Swing Weak
Cincinnati Bengals,Offense,I Twins,Pro,Strong Power-O
Cincinnati Bengals,Offense,I Twins,Pro,Weak Toss
Cincinnati Bengals,Offense,I Twins,Pro,HB Pass
Cincinnati Bengals,Offense,I Twins,Pro,Strong Outside Zone
Cincinnati Bengals,Offense,I Twins,Pro,PA X/Z Verts
Cincinnati Bengals,Offense,I Twins,Pro,Weak Belly
Cincinnati Bengals,Offense,I Twins,Pro,PA-RO Z Delay Out
Cincinnati Bengals,Offense,I Twins,Pro,Slot Reverse I
Cincinnati Bengals,Offense,I Twins,Pro,H Lead Shovel
Cincinnati Bengals,Offense,I Twins,Pro,Toss Reverse I
Cincinnati Bengals,Offense,I Jokers,Jokers,90 X Lob Fade
Cincinnati Bengals,Offense,I Jokers,Jokers,Strong Iso
Cincinnati Bengals,Offense,I Jokers,Jokers,50 Y/TE Comebacks
Cincinnati Bengals,Offense,I Jokers,Jokers,Weak Outside Zone
Cincinnati Bengals,Offense,I Jokers,Jokers,90 Hitches
Cincinnati Bengals,Offense,I Jokers,Jokers,Strong Power-O
Cincinnati Bengals,Offense,I Jokers,Jokers,Weak Stretch
Cincinnati Bengals,Offense,I Jokers,Jokers,90 X Speed Corner
Cincinnati Bengals,Offense,I Jokers,Jokers,Strong Counter Trap
Cincinnati Bengals,Offense,I Jokers,Jokers,PA Delay Corner
Cincinnati Bengals,Offense,I Jokers,Jokers,Weak Fan Iso
Cincinnati Bengals,Offense,I Jokers,Jokers,PA TE Zone In
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,90 Y/TE Speed Outs
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,Weak Iso
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,50 Y Swing Strong
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,Weak Toss
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,PA X In-n-Out
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,Strong Power
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,Strong Y Trap
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,PA TE Zone In
Cincinnati Bengals,Offense,I Jokers Pair,Jokers,Strong Power-O
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,90 Y/Z Cross
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Weak Fan Iso
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,50 Z Wheel
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Weak Power-O
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,PA Y/T Seams
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Strong Power
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Weak Stretch
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,PA TE Dump
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Strong Counter Trap
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Fake Toss Reverse I
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,90 F Speed Out
Cincinnati Bengals,Offense,I Wing Jokers,Jokers,Strong Iso
Cincinnati Bengals,Offense,Strong I Pro,Pro,90 X Quick Under
Cincinnati Bengals,Offense,Strong I Pro,Pro,Weak Zone Cutback
Cincinnati Bengals,Offense,Strong I Pro,Pro,50 Z Deep Hook
Cincinnati Bengals,Offense,Strong I Pro,Pro,FB Fake Weak Toss
Cincinnati Bengals,Offense,Strong I Pro,Pro,50 Z/TE Cross
Cincinnati Bengals,Offense,Strong I Pro,Pro,Strong Power-O
Cincinnati Bengals,Offense,Strong I Pro,Pro,Weak Dive
Cincinnati Bengals,Offense,Strong I Pro,Pro,PA Y/T Seams
Cincinnati Bengals,Offense,Strong I Pro,Pro,Strong Toss
Cincinnati Bengals,Offense,Strong I Pro,Pro,PA X/Z Go
Cincinnati Bengals,Offense,Strong I Pro,Pro,Strong Lead Draw
Cincinnati Bengals,Offense,Strong I Pro,Pro,RO H Flare
Cincinnati Bengals,Offense,Strong I Spread,Queens,90 Y Qk Slant
Cincinnati Bengals,Offense,Strong I Spread,Queens,Strong Draw
Cincinnati Bengals,Offense,Strong I Spread,Queens,50 X Deep Drag
Cincinnati Bengals,Offense,Strong I Spread,Queens,Weak FB Sweep
Cincinnati Bengals,Offense,Strong I Spread,Queens,50 Z Slip Screen
Cincinnati Bengals,Offense,Strong I Spread,Queens,Strong Sweep
Cincinnati Bengals,Offense,Strong I Spread,Queens,PA Y Slam-n-Go
Cincinnati Bengals,Offense,Strong I Spread,Queens,Weak Counter Trap
Cincinnati Bengals,Offense,Strong I Spread,Queens,RO F Dump
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,90 Y/TE Speed Outs
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,Strong Fan Iso
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,50 F Swing Strong
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,Weak Dbl Lead Pitch
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,50 Jokers X Curl
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,Strong Power-O
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,Weak Counter Trap
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,PA Delay Corner
Cincinnati Bengals,Offense,Strong I Jokers,Jokers,QB Sneak
Cincinnati Bengals,Offense,Weak I Pro,Pro,90 F Speed Out
Cincinnati Bengals,Offense,Weak I Pro,Pro,Strong Zone Cutback
Cincinnati Bengals,Offense,Weak I Pro,Pro,50 X Out-n-Up
Cincinnati Bengals,Offense,Weak I Pro,Pro,Weak FB Dive
Cincinnati Bengals,Offense,Weak I Pro,Pro,50 H Swing Strong
Cincinnati Bengals,Offense,Weak I Pro,Pro,FB Fake Strong Toss
Cincinnati Bengals,Offense,Weak I Pro,Pro,Weak Lead Draw
Cincinnati Bengals,Offense,Weak I Pro,Pro,PA X Slant-n-Go
Cincinnati Bengals,Offense,Weak I Pro,Pro,Strong Dbl Lead Pitch
Cincinnati Bengals,Offense,Weak I Pro,Pro,PA Slam-n-Go
Cincinnati Bengals,Offense,Weak I Pro,Pro,Weak Stretch
Cincinnati Bengals,Offense,Weak I Pro,Pro,PA-RO Z Corner
Cincinnati Bengals,Offense,Split Pro,Pro,90 Y/Z Speed Cross
Cincinnati Bengals,Offense,Split Pro,Pro,Weak Dive
Cincinnati Bengals,Offense,Split Pro,Pro,50 Z Deep Drag
Cincinnati Bengals,Offense,Split Pro,Pro,Strong Counter
Cincinnati Bengals,Offense,Split Pro,Pro,50 Double Swing
Cincinnati Bengals,Offense,Split Pro,Pro,Weak T-Toss
Cincinnati Bengals,Offense,Split Pro,Pro,PA TE Dump
Cincinnati Bengals,Offense,Split Pro,Pro,Weak Draw
Cincinnati Bengals,Offense,Split Pro,Pro,RO X Deep Hook
Cincinnati Bengals,Offense,Split Pro,Pro,Strong FB Toss
Cincinnati Bengals,Offense,Split Pro,Pro,90 X Quick Corner 
Cincinnati Bengals,Offense,Split Pro,Pro,Strong Sweep
Cincinnati Bengals,Offense,Split Twins,Pro,90 X Slip Screen
Cincinnati Bengals,Offense,Split Twins,Pro,Weak Dive
Cincinnati Bengals,Offense,Split Twins,Pro,50 Double Swing
Cincinnati Bengals,Offense,Split Twins,Pro,Weak FB Sweep
Cincinnati Bengals,Offense,Split Twins,Pro,PA X Out-n-Up
Cincinnati Bengals,Offense,Split Twins,Pro,Strong Sweep
Cincinnati Bengals,Offense,Split Twins,Pro,Weak T-Toss
Cincinnati Bengals,Offense,Split Twins,Pro,RO X Out
Cincinnati Bengals,Offense,Split Twins,Pro,Strong FB Toss
Cincinnati Bengals,Offense,Bunch,Flush,90 X Lob Fade
Cincinnati Bengals,Offense,Bunch,Flush,Weak Dive
Cincinnati Bengals,Offense,Bunch,Flush,50 H Wheel
Cincinnati Bengals,Offense,Bunch,Flush,90 A In
Cincinnati Bengals,Offense,Bunch,Flush,Strong Lead T-Toss
Cincinnati Bengals,Offense,Bunch,Flush,90 X Lob Corner
Cincinnati Bengals,Offense,Bunch,Flush,Weak Counter
Cincinnati Bengals,Offense,Bunch,Flush,PA A/Z Cross
Cincinnati Bengals,Offense,Bunch,Flush,Strong Draw
Cincinnati Bengals,Offense,Bunch,Flush,90 A Quick Out
Cincinnati Bengals,Offense,Bunch,Flush,Fake Toss Reverse
Cincinnati Bengals,Offense,Bunch,Flush,50 Z Fade
Cincinnati Bengals,Offense,Quads,Flush,90 Slants-n-Stops
Cincinnati Bengals,Offense,Quads,Flush,Strong Draw
Cincinnati Bengals,Offense,Quads,Flush,50 Double Cross
Cincinnati Bengals,Offense,Quads,Flush,50 Y/A Swing
Cincinnati Bengals,Offense,Quads,Flush,Strong Dive
Cincinnati Bengals,Offense,Quads,Flush,PA Z Fade
Cincinnati Bengals,Offense,Quads,Flush,Weak Zone Bounce
Cincinnati Bengals,Offense,Quads,Flush,50 Slot Outs
Cincinnati Bengals,Offense,Quads,Flush,Strong Toss
Cincinnati Bengals,Offense,Quads,Flush,Slot Reverse Strong
Cincinnati Bengals,Offense,Quads,Flush,PA Reverse Z Post
Cincinnati Bengals,Offense,Quads,Flush,Toss Reverse Strong
Cincinnati Bengals,Offense,Triple,Kings,90 TE Speed Out
Cincinnati Bengals,Offense,Triple,Kings,Weak Zone Cutback
Cincinnati Bengals,Offense,Triple,Kings,50 X Arrow-n-Go
Cincinnati Bengals,Offense,Triple,Kings,Weak Toss
Cincinnati Bengals,Offense,Triple,Kings,50 X Opposite Flow
Cincinnati Bengals,Offense,Triple,Kings,Strong Power
Cincinnati Bengals,Offense,Triple,Kings,50 Z Deep Slide
Cincinnati Bengals,Offense,Triple,Kings,Strong Draw
Cincinnati Bengals,Offense,Triple,Kings,50 Y Drag
Cincinnati Bengals,Offense,Triple,Kings,Toss Reverse Weak
Cincinnati Bengals,Offense,Triple,Kings,Flea Flicker
Cincinnati Bengals,Offense,Triple,Kings,Slot Reverse Weak
Cincinnati Bengals,Offense,Trey,Flush,90 A Quick Out
Cincinnati Bengals,Offense,Trey,Flush,Weak Dive
Cincinnati Bengals,Offense,Trey,Flush,50 Y/Z In-n-Out
Cincinnati Bengals,Offense,Trey,Flush,90 X/Y Slam
Cincinnati Bengals,Offense,Trey,Flush,Strong Toss
Cincinnati Bengals,Offense,Trey,Flush,50 H Screen Strong
Cincinnati Bengals,Offense,Trey,Flush,PA Slam-n-Go
Cincinnati Bengals,Offense,Trey,Flush,Strong Draw
Cincinnati Bengals,Offense,Trey,Flush,50 Z Deep Slide
Cincinnati Bengals,Offense,Trey,Flush,Slot Reverse Weak C
Cincinnati Bengals,Offense,Trey,Flush,Flea Flicker
Cincinnati Bengals,Offense,Trey,Flush,Toss Reverse Weak C
Cincinnati Bengals,Offense,Doubles,Kings,90 All Hot
Cincinnati Bengals,Offense,Doubles,Kings,Strong Zone Cutback
Cincinnati Bengals,Offense,Doubles,Kings,50 Double Cross
Cincinnati Bengals,Offense,Doubles,Kings,Weak Dive
Cincinnati Bengals,Offense,Doubles,Kings,50 H Wheel
Cincinnati Bengals,Offense,Doubles,Kings,Strong Toss
Cincinnati Bengals,Offense,Doubles,Kings,90 Slants-n-Hitches
Cincinnati Bengals,Offense,Doubles,Kings,Weak Outside Zone
Cincinnati Bengals,Offense,Doubles,Kings,50 H Screen Strong
Cincinnati Bengals,Offense,Doubles,Kings,PA Z/TE Cross
Cincinnati Bengals,Offense,Doubles,Kings,Slot Reverse Strong
Cincinnati Bengals,Offense,Doubles,Kings,50 Z Stop
Cincinnati Bengals,Offense,Doubles,Kings,Toss Reverse Strong
Cincinnati Bengals,Offense,Ace,Ace,90 X/Z Stops
Cincinnati Bengals,Offense,Ace,Ace,Strong Draw
Cincinnati Bengals,Offense,Ace,Ace,50 Verts-n-Flats
Cincinnati Bengals,Offense,Ace,Ace,Weak Outside Zone
Cincinnati Bengals,Offense,Ace,Ace,50 H Wheel
Cincinnati Bengals,Offense,Ace,Ace,Strong Outside Zone
